id,name,category,uses_english,uses_marathi,uses_hindi,advantages_english,advantages_marathi,advantages_hindi,disadvantages_english,disadvantages_marathi,disadvantages_hindi,precautions_english,precautions_marathi,precautions_hindi,dosage_english,dosage_marathi,dosage_hindi
16,Celecoxib (Celebrex),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
17,Diclofenac (Voltaren),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
18,Meloxicam (Mobic),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
19,Indomethacin (Indocin),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
20,Ketorolac (Toradol),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
21,Tramadol (Ultram),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
22,"Hydrocodone/Acetaminophen (Vicodin, Norco)",Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
23,"Oxycodone (OxyContin, Roxicodone)",Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
24,Oxycodone/Acetaminophen (Percocet),Pain Relief,Treatment of various conditions related to pain relief,pain relief संबंधित विविध परिस्थितींचे उपचार,pain relief से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for pain relief conditions with proven clinical benefits,pain relief परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,pain relief स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
25,Amoxicillin (Amoxil),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
26,Amoxicillin/Clavulanate (Augmentin),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
27,"Azithromycin (Zithromax, Z-Pak)",Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
28,Cephalexin (Keflex),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
29,Cefdinir (Omnicef),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
30,Ciprofloxacin (Cipro),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
31,Levofloxacin (Levaquin),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
